scheme,model,n,n_high_grade,rmse,mae,r2,bias,correlation,calibration_slope,calibration_intercept,length_weighted_rmse,length_weighted_mae,high_grade_rmse,high_grade_mae,high_grade_bias
random_interval,Mean,1000,100,6.650739893110577,5.09557345,-0.0008912391701132449,-4.973799150320702e-16,-0.03980483879269401,-3.9999999999924927,128.19459999980825,6.0327421953894795,4.701761963482249,9.757036068534562,9.309167750000002,-9.309167750000002
random_interval,OrdinaryKriging,1000,100,6.164954907276487,4.573056590207142,0.1399835262461524,0.03230097075068531,0.38179888645616566,0.8341411068762284,4.225499324593766,5.527431467998977,4.180530502225023,7.534988933283933,6.526551142765952,-6.4624353299019495
random_interval,XGBoost,1000,100,5.2064205228938905,3.7067512005996703,0.3866258799405705,-0.0744385422897339,0.6232676841488803,0.9377578610888005,1.6656265483733272,4.473588932775367,3.29615481574251,6.978640137366385,5.881499863433838,-5.829105948638917
random_interval,OOFResidualKriging,1000,100,5.288289784493918,3.745472620425703,0.3671839985208839,-0.04255673745862862,0.6136090327906197,0.8642390407781729,3.517543566571594,4.540938612863333,3.319588407565551,6.869682250269554,5.510734501314355,-5.425736286169762
random_interval,ConvexFusion,1000,100,5.204372975264357,3.714156040248238,0.3871082327437594,-0.06853266646702343,0.6227942452524274,0.9604368863783765,1.0801768058925065,4.47287413815723,3.302836440318358,6.991174411238367,5.909326578911532,-5.856351546529407
drillhole,Mean,1000,99,6.660862883156489,5.097844409088067,-0.003940440643888987,0.0004711407662870215,-0.08344714143516542,-3.9785209415362135,127.64577458177617,6.04353639336606,4.703396335890559,9.829221656807718,9.38248158407542,-9.38248158407542
drillhole,OrdinaryKriging,1000,99,6.987149891210799,5.379119787693397,-0.10470693817627041,-0.07631160832934882,0.01582452920883538,0.04659860785843654,24.44773803571775,6.4605698639688,5.039277869525701,9.553235318133765,8.951496251232143,-8.951496251232143
drillhole,XGBoost,1000,99,5.966800838512842,4.433847667427063,0.1943803590039046,-0.17585442249298103,0.471044385068285,0.7420830676447326,6.74321018460461,5.378592688330822,4.056785605447177,8.900515357503659,8.027713716295029,-8.027713716295029
drillhole,OOFResidualKriging,1000,99,6.27775376993595,4.732092928041896,0.10822454115839131,0.3584561674440996,0.42503945821647043,0.6171456316246768,9.594752864558405,5.697424023428213,4.388682315554831,8.47494089652925,7.414325768131174,-7.262212025792079
drillhole,ConvexFusion,1000,99,5.924811977000088,4.4213664403097175,0.20567888583501714,-0.08266943436155157,0.46056600669046066,0.8531214116890511,3.8363354399634386,5.327984846820114,4.053151131778262,8.9161301077954,8.139966639408845,-8.139966639408845
spatial_block,Mean,1000,101,6.657208996117366,5.105931618177085,-0.0028392983774521152,0.0025546002454887285,-0.07008114011910643,-3.902963274618189,125.71665367181336,6.040424502410454,4.713910198452424,9.696021269480722,9.24245761788643,-9.24245761788643
spatial_block,OrdinaryKriging,1000,101,6.996686508437189,5.409336880514206,-0.10772457970319627,-0.4102874738884294,-0.006067048506543877,-0.019178323394902348,26.122762873396926,6.427403907548782,5.02844269668086,9.749592696917421,9.139383681017414,-9.139383681017414
spatial_block,XGBoost,1000,101,5.823013857047462,4.310249201316834,0.23273990932512068,-0.13002711193084718,0.50310765248437,0.780604011060751,5.726575893854172,5.234247407576594,3.9335870674979363,8.90038948205875,7.882971574764441,-7.882971574764441
spatial_block,OOFResidualKriging,1000,101,6.184638809924509,4.674923908102261,0.13448291642073007,0.07074485486729933,0.4398824200461861,0.6444442078320263,9.070475398978147,5.626250273151183,4.3327526527468985,8.796950349795361,7.778938659545066,-7.778737671405102
spatial_block,ConvexFusion,1000,101,5.780847868467936,4.338890114772152,0.24381154517868908,-0.17549241696242096,0.4959540695066427,0.9284221833370409,1.99810896811161,5.1947425018692535,3.9704061113712146,8.920937124701075,8.083007408883585,-8.083007408883585
