scheme,outer_fold,model,n_train,n_test,n_train_holes,n_test_holes,test_TFe_mean,test_TFe_sd,high_grade_threshold,n_high_grade_test,rmse,mae,r2,bias,correlation,calibration_slope,calibration_intercept,length_weighted_rmse,length_weighted_mae,high_grade_rmse,high_grade_mae,high_grade_bias
random_interval,1,Mean,800,200,29,29,25.570949999999996,6.711351637450353,31.951,23,6.695091352917169,5.108567500000001,-0.00016106882743205375,0.08496249999999592,,,,6.032933928180846,4.660050746737699,9.039226617254991,8.765826630434786,-8.765826630434786
random_interval,1,OrdinaryKriging,800,200,29,29,25.570949999999996,6.711351637450353,31.951,23,6.594588890148367,4.952370601891374,0.029641120336672766,0.4482418420504215,0.28541082818975916,0.5674429772679772,10.806542315040241,6.062922036114366,4.6592172726040015,6.385163792039814,5.463082244128704,-5.281497539818073
random_interval,1,XGBoost,800,200,29,29,25.570949999999996,6.711351637450353,31.951,23,5.503530199229573,3.9069184885025026,0.32416661867475727,-0.14571512432098396,0.5876353190736217,0.8034138442394747,5.1439643078391635,4.662460415247777,3.415632349935385,6.90727974212986,5.63445316148841,-5.503264767190685
random_interval,1,OOFResidualKriging,800,200,29,29,25.570949999999996,6.711351637450353,31.951,23,5.62312254459803,3.9688719724775074,0.29447561706922143,-0.14646140786198095,0.5762320497767731,0.7495044151114012,6.515183548243089,4.795315152103462,3.48429037743794,6.749169689343302,5.2744227020989465,-5.030957725010094
random_interval,1,ConvexFusion,800,200,29,29,25.570949999999996,6.711351637450353,31.951,23,5.491588632883811,3.9076566296065844,0.32709628496885146,-0.11642301173832063,0.585548480836449,0.8248089808209792,4.575827537531781,4.6512424227419205,3.4139706053622048,6.862527683051936,5.626001764329576,-5.492327845418446
random_interval,2,Mean,800,200,29,27,26.109899999999996,6.3758548931175065,31.9,26,6.387085807754973,5.057294499999999,-0.008568899061653035,-0.588724999999997,,,,5.852515466344031,4.755584461370682,9.457168329034959,8.990363461538458,-8.990363461538458
random_interval,2,OrdinaryKriging,800,200,29,27,26.109899999999996,6.3758548931175065,31.9,26,5.680370693052835,4.2787539729638535,0.20227458890277328,-0.39199399302590554,0.45398019836891984,0.9892096756690368,0.6694985399543987,5.106170109335997,4.004711328011218,7.058054983309235,6.2098463979872,-6.2098463979872
random_interval,2,XGBoost,800,200,29,27,26.109899999999996,6.3758548931175065,31.9,26,4.903271926633053,3.512735614585876,0.40560926879608983,-0.2599372838973999,0.6392609639549974,0.9451770807650401,1.6771077021090113,4.0968107230191535,3.1132210733157386,6.1510124930611445,5.361663480905387,-5.361663480905387
random_interval,2,OOFResidualKriging,800,200,29,27,26.109899999999996,6.3758548931175065,31.9,26,5.062883221506379,3.559995186156857,0.3662822219990238,-0.25143247777727873,0.6178791005751993,0.8396213758794623,4.398577920856969,4.176602638704133,3.1266027779701546,5.958048939213424,4.926230839569044,-4.923587707459903
random_interval,2,ConvexFusion,800,200,29,27,26.109899999999996,6.3758548931175065,31.9,26,4.899765797479223,3.51488356648818,0.4064590138672288,-0.2623534831765262,0.6395792770748379,0.9551725931483315,1.4210319670036098,4.097788988690705,3.1169574131355597,6.164903630745754,5.377181156298363,-5.377181156298363
random_interval,3,Mean,800,200,29,28,25.297800000000002,7.189428668740971,32.112,15,7.184097864032755,5.440544,-0.003535269716295142,0.4263999999999997,,,,6.486323084462471,4.991230966197591,11.333706356410215,10.730466666666667,-10.730466666666667
random_interval,3,OrdinaryKriging,800,200,29,28,25.297800000000002,7.189428668740971,32.112,15,6.5538095773268426,4.697506484085697,0.16482824494346437,0.00992264386588488,0.4120932773215265,0.8536578393346776,3.6936641693561527,5.676995003351576,4.096433494402828,9.894838205410132,8.37869736828902,-8.37869736828902
random_interval,3,XGBoost,800,200,29,28,25.297800000000002,7.189428668740971,32.112,15,5.627347358069157,3.8758710033416746,0.3842624941830518,-0.046389925765991116,0.6217316793217046,0.9291738984988593,1.8348488587306147,4.666130029139981,3.347638331075961,9.520461572552504,7.851189697265625,-7.851189697265625
random_interval,3,OOFResidualKriging,800,200,29,28,25.297800000000002,7.189428668740971,32.112,15,5.723214668414515,3.9493230647104323,0.36310442317913827,0.06145488123519922,0.616065011515254,0.8280840501425765,4.2982055093488345,4.76019972707788,3.368368928511099,9.392721166409295,6.9682234117017305,-6.953032938622332
random_interval,3,ConvexFusion,800,200,29,28,25.297800000000002,7.189428668740971,32.112,15,5.6315810172052805,3.880759295499611,0.38333566199906355,-0.044486310298253076,0.6203624231077088,0.9416933676041194,1.5169219883815572,4.671146402594022,3.351028584435427,9.531766393899314,7.869017779485498,-7.869017779485498
random_interval,4,Mean,800,200,29,29,25.659849999999995,6.344513752152823,32.001,19,6.328686668962704,4.7566862500000004,-1.708986829451753e-05,-0.026162500000003152,-7.803063208643536e-16,,,5.856754949050348,4.420721809738692,8.91202716205073,8.69157565789474,-8.69157565789474
random_interval,4,OrdinaryKriging,800,200,29,29,25.659849999999995,6.344513752152823,32.001,19,5.640528819922117,4.152995880232425,0.20563540700724026,-0.0941571393482285,0.45970750837947305,1.1918183195123297,-4.809811102350335,5.18121477333833,3.862576787924875,7.064265835281643,6.395355718698281,-6.395355718698281
random_interval,4,XGBoost,800,200,29,29,25.659849999999995,6.344513752152823,32.001,19,4.5852621769415265,3.328434940910339,0.47506131515297323,-0.10631808147430434,0.6930681552162784,1.1136165561245834,-2.7969862119282176,4.242981900950139,3.118091371434639,6.116378892734979,5.5744026425010285,-5.5744026425010285
random_interval,4,OOFResidualKriging,800,200,29,29,25.659849999999995,6.344513752152823,32.001,19,4.59914173522502,3.314034408935645,0.47187853344871944,-0.046285085356660025,0.6878333313714936,1.0526288347006942,-1.301726988631606,4.245238352562827,3.104784241919066,6.23714297957967,5.424097599243131,-5.424097599243131
random_interval,4,ConvexFusion,800,200,29,29,25.659849999999995,6.344513752152823,32.001,19,4.591405982904087,3.338563037266066,0.4736536390061654,-0.1058084545442854,0.6940112403369415,1.1449371964458814,-3.5979226849156527,4.248332572701262,3.129001748423831,6.151791801750444,5.608845301008909,-5.608845301008909
random_interval,5,Mean,800,200,29,28,25.5561,6.639938380624662,32.024,17,6.624126751174452,5.114775,-0.00024430890626181423,0.10352500000000202,,,,5.935830740872246,4.691277195071974,10.51457640860485,9.968022058823527,-9.968022058823527
random_interval,5,OrdinaryKriging,800,200,29,28,25.5561,6.639938380624662,32.024,17,6.285709654364204,4.783656011862357,0.09934709520783602,0.1894915002112539,0.3321332397417462,0.7672906911943426,5.801747302595717,5.557544014034765,4.268383941560884,7.775823636925103,6.962117478492066,-6.8306390615946695
random_interval,5,XGBoost,800,200,29,28,25.5561,6.639938380624662,32.024,17,5.33961473760563,3.909795955657959,0.3500668823482397,0.18616770401000995,0.5926077801445412,0.9703871378714571,0.576134520384869,4.672417474049657,3.4855452346345794,6.50208850146709,5.6160480858297905,-5.485338767556582
random_interval,5,OOFResidualKriging,800,200,29,28,25.5561,6.639938380624662,32.024,17,5.354480340452522,3.9351384698480745,0.3464429891659099,0.16994040246757736,0.590304297115299,0.9412440801696991,1.3416167649708994,4.695514118990069,3.5123129281276397,6.35300498282322,5.535207093718772,-5.382057181343068
random_interval,5,ConvexFusion,800,200,29,28,25.5561,6.639938380624662,32.024,17,5.3354030861922395,3.92891767238075,0.3510917548683883,0.18640792742226822,0.5932792262731131,1.0168268819936226,-0.6195740705368898,4.669888061381499,3.5024793531499547,6.572946166123186,5.713210578609623,-5.5824456901827695
drillhole,1,Mean,798,202,23,6,25.42806930693069,6.5441961476604025,32.192,13,6.533322669976656,4.9400141442715695,-0.001638275661553612,0.26422392615201507,2.6133761364007845e-16,,,5.76512545868301,4.463703685996947,9.867953937756308,9.600783689994214,-9.600783689994214
