scheme,outer_fold,xgboost_weight,ordinary_kriging_weight,inner_xgboost_rmse,inner_ordinary_kriging_rmse
random_interval,1,0.9506827108698553,0.04931728913014466,5.2662193494127205,6.135969395346257
random_interval,2,0.9817050789310611,0.01829492106893893,5.416401376195452,6.47066057640143
random_interval,3,0.966202485959322,0.03379751404067799,5.332930525126165,6.26405653849774
random_interval,4,0.9580463376403634,0.0419536623596366,5.510810021716848,6.44673367765394
random_interval,5,0.9278172128897956,0.07218278711020443,5.328475831759984,6.1727120587436035
drillhole,1,0.9287657047419499,0.07123429525805014,5.898017650610194,7.185882204365693
drillhole,2,0.8526546307597597,0.14734536924024033,6.002439875685916,7.126554046653006
drillhole,3,0.77291632329479,0.22708367670521,5.755937575910976,6.523601878083807
drillhole,4,0.7560626464773074,0.24393735352269263,6.372892781473409,7.2126115563508675
drillhole,5,0.8957796244612783,0.10422037553872165,5.559258505429018,6.922741148900583
spatial_block,1,0.8410190008732661,0.1589809991267339,5.888509348895991,6.879649498492681
spatial_block,2,0.8141845415741427,0.18581545842585734,6.055541123636698,7.120652293954442
spatial_block,3,0.8155100603822327,0.18448993961776727,5.998330412586059,7.118055663217061
spatial_block,4,0.8084032346942078,0.19159676530579217,5.998228585412272,6.8846622290703205
spatial_block,5,0.8075506996608895,0.19244930033911045,5.464114372098036,6.396652951719365
