scenario,method,replicates,r2_mean,r2_q025,r2_q975,probability_r2_positive,rmse_mean,abs_bias_mean,far_quartile_r2_mean,fold_r2_std_mean,kriging_fallback_count_total,scenario_label,method_label
S0_stationary,M0_mean,30,-0.2433096525832928,-0.4447625531147077,-0.0673245725139685,0.0,7.888605269755783,0.1069357618914199,-0.6674835005902285,2.8230738225098313,0,S0 stationary,Mean
S0_stationary,M1_idw,30,-0.0516762172936601,-0.7404577587102841,0.5734611782871236,0.3666666666666666,7.161864467679597,1.7439297710890584,-1.618447741301422,1.3545069920382184,0,S0 stationary,IDW
S0_stationary,M2_ordinary_kriging,30,0.1315870056445511,-0.3388365826214053,0.6161326402393509,0.7333333333333333,6.527461527544406,1.453081094052216,-1.068581047482322,1.0112644432934723,0,S0 stationary,Ordinary kriging
S0_stationary,M3_catboost_coordinates,30,-0.1327422786359601,-0.7944873099073724,0.4602594397074301,0.3,7.447856320983564,1.2886936746324515,-1.3065846948797015,1.6264604696762202,0,S0 stationary,Coordinate CatBoost
S0_stationary,M4_crossfitted_residual_kriging,30,-0.6812291194131442,-2.2540059778607,0.4254864852144141,0.1666666666666666,8.981665601070365,3.0160835983589984,-3.2215487880358533,3.105552943353339,0,S0 stationary,Residual kriging
S1_anisotropy_misspecified,M0_mean,30,-0.0639749153873958,-0.1429094701671161,-0.0095593634443726,0.0,7.302635547936453,0.0694791191569976,-0.1987246174339813,0.4169189805504446,0,S1 anisotropy,Mean
S1_anisotropy_misspecified,M1_idw,30,-0.5078826131289907,-1.0285331820522927,-0.0769232283064002,0.0,8.662735544585122,2.212219869951013,-1.2190186842907358,0.838338890302054,0,S1 anisotropy,IDW
S1_anisotropy_misspecified,M2_ordinary_kriging,30,-0.2734798357558852,-0.6875565565930526,0.0146073774192301,0.0666666666666666,7.964995125488003,1.6072701822339008,-0.6672910795562765,0.6113854041567862,0,S1 anisotropy,Ordinary kriging
S1_anisotropy_misspecified,M3_catboost_coordinates,30,-0.2196990861674662,-0.4941486877911027,0.0155933485179673,0.0333333333333333,7.806070706641917,1.0532121379843689,-0.5688643935328009,0.4800501209786798,0,S1 anisotropy,Coordinate CatBoost
S1_anisotropy_misspecified,M4_crossfitted_residual_kriging,30,-0.7856309413975081,-1.766819130970514,-0.0538450588763346,0.0,9.37971219019526,2.37769696541779,-1.5072786103365945,1.1376527725961414,0,S1 anisotropy,Residual kriging
S2_domain_mean_shift,M0_mean,30,-0.3841888673248289,-0.5887449998462531,-0.1505827293333616,0.0,11.84119715285923,0.1762306689527135,-0.8541561039674362,7.341723320918489,0,S2 domain shift,Mean
S2_domain_mean_shift,M1_idw,30,0.310432915910409,-0.3493821405000485,0.8077684349861605,0.8333333333333334,7.755046807634345,2.137206156947324,-0.8506425993756024,1.306200261320336,0,S2 domain shift,IDW
S2_domain_mean_shift,M2_ordinary_kriging,30,0.4077622547078984,-0.062064323459635,0.86794915417902,0.9333333333333332,7.155428795553172,2.206675522162881,-0.6106201810060846,1.0351927773906178,0,S2 domain shift,Ordinary kriging
S2_domain_mean_shift,M3_catboost_coordinates,30,0.280774430801528,-0.4838071452384703,0.7684340370476355,0.8,7.972801676144048,1.6777889243385744,-0.5372858285298752,1.459714360724784,0,S2 domain shift,Coordinate CatBoost
S2_domain_mean_shift,M4_crossfitted_residual_kriging,30,-0.2877760443952645,-2.4040305150916166,0.7341845378622571,0.5666666666666667,10.473877769762645,3.701313048968733,-2.5662477391082703,3.6004889517351923,0,S2 domain shift,Residual kriging
S3_fault_offset,M0_mean,30,-0.155728874530583,-0.288793723387157,-0.0368935688147316,0.0,9.805734762532298,0.1645337637064499,-0.9289277169102425,0.8556023903773865,0,S3 fault offset,Mean
S3_fault_offset,M1_idw,30,0.0646399451516337,-0.5060549030716057,0.4709001999975285,0.6666666666666666,8.764803254123754,2.014423772580048,-1.6677656515225805,0.633201263775046,0,S3 fault offset,IDW
S3_fault_offset,M2_ordinary_kriging,30,0.1424559597401566,-0.2420781137959432,0.5153839506387076,0.7666666666666667,8.34637665852419,1.8919335918036784,-1.2226144355251156,0.5662709170844091,0,S3 fault offset,Ordinary kriging
S3_fault_offset,M3_catboost_coordinates,30,-0.0733498834689786,-0.5480826387019491,0.2545041025391992,0.4,9.42200610574002,1.667384524924241,-1.579786965340273,0.6021552681535826,0,S3 fault offset,Coordinate CatBoost
S3_fault_offset,M4_crossfitted_residual_kriging,30,-0.3347299446142975,-1.184861743963419,0.3676982238566591,0.2666666666666666,10.358534190351032,3.1177951062354867,-2.5089645494968105,1.3487212093371552,0,S3 fault offset,Residual kriging
S4_support_mismatch,M0_mean,30,-0.0188207047764355,-0.0532186225352263,-0.0022904543627157,0.0,7.124701099189715,0.039598776373997,-0.0499890500860028,0.0779522375160321,0,S4 support mismatch,Mean
S4_support_mismatch,M1_idw,30,-0.1729165860541676,-0.3146415878679606,-0.0700547741010294,0.0,7.640809564124826,0.8060207324766151,-0.1825955017594369,0.2706240709198401,0,S4 support mismatch,IDW
S4_support_mismatch,M2_ordinary_kriging,30,-0.0707584495485834,-0.180422645923073,-0.009519763702413,0.0,7.302067934372854,0.5320320011194698,-0.0986833028727653,0.1402013181274792,0,S4 support mismatch,Ordinary kriging
S4_support_mismatch,M3_catboost_coordinates,30,-0.0730202145534621,-0.1469189781663438,0.0079234786175922,0.1333333333333333,7.3097324338031635,0.432123958174322,-0.113227981702438,0.1343602772580819,0,S4 support mismatch,Coordinate CatBoost
S4_support_mismatch,M4_crossfitted_residual_kriging,30,-0.2256964102743265,-0.5707690806419629,-0.0160120360923176,0.0,7.799147333585371,1.1469739904180174,-0.3094911539273303,0.2535894374613353,0,S4 support mismatch,Residual kriging
