model,n,r2,rmse,mae,bias,far_quartile_r2,far_quartile_n,stage
Mean,1819,-0.0050417430201816,7.035212374316981,5.382763022268978,-0.0004005600918969,-0.0066435460919009,455,Development
IDW,1819,-0.1811723186266616,7.626790069764861,5.84078582751415,-0.2258452830162082,-0.1135373842260241,455,Development
Geometry CatBoost,1819,0.0567325934446601,6.815576177837506,5.208237347522775,-0.3725127711228572,-0.0121779347393111,455,Development
Geometry + lithology,1819,0.4613017659396942,5.15060135920234,3.8058624698513666,-0.1121087673254347,0.3511338735229842,455,Development
Mean,447,-0.0004224400890306,6.430618008489697,4.889082577269759,0.1321428176112668,-0.0074560300462285,112,Blind
IDW,447,-0.3054524380201573,7.34584105140288,5.894109770752296,-0.7471931933685643,-0.0263490916366386,112,Blind
Geometry CatBoost,447,-0.0311701537360917,6.528691797819935,4.76798616172483,0.6765550525150579,-0.0903154981683234,112,Blind
Geometry + lithology,447,0.1777357046110217,5.829975321295137,4.22582882727949,0.3847924061403223,0.4087012522748594,112,Blind
