scheme,feature_contract,model,n,r2,rmse,mae,bias,far_quartile_r2,far_quartile_n,high_grade_bias,high_grade_n
drillhole,G0_current_geology,catboost,9592,0.2731994624288627,8.714049763201723,6.265808123214768,0.457619580684044,0.15113748077147782,2398,-12.694844849615,961
drillhole,G0_current_geology,xgboost,9592,0.22447713094695887,9.001392936854376,6.368464636343334,0.24380050233048745,0.10496351124067349,2398,-13.848405891918615,961
drillhole,G1_plus_CAD_solid,catboost,9592,0.2557412187125011,8.81808741074587,6.324951955470465,0.3618493360716658,0.16038109059627748,2398,-13.353721556554033,961
drillhole,G1_plus_CAD_solid,xgboost,9592,0.22302024094019135,9.009843936006131,6.40913621485283,0.22020545224133278,0.0980502583232129,2398,-13.943156810327821,961
drillhole,G2_plus_TP_CVOCA_current,catboost,9592,0.25251507504989434,8.837178656479578,6.312354526362408,0.46962689812686664,0.13450585986536268,2398,-12.92108011765261,961
drillhole,G2_plus_TP_CVOCA_current,xgboost,9592,0.24618561347568846,8.874514976281635,6.3123242666206325,0.45078703090088673,0.12210410614515865,2398,-13.00123820103418,961
drillhole,G3_plus_solid_TP_CVOCA,catboost,9592,0.2495186778518077,8.854873470549485,6.3483621500205984,0.43088081006764983,0.11513504665502294,2398,-12.976474352601066,961
drillhole,G3_plus_solid_TP_CVOCA,xgboost,9592,0.2462207105768104,8.874308378092053,6.311031708085011,0.4609737855340163,0.11578738779176323,2398,-13.002114957200128,961
drillhole,G4_solid_TP_CVOCA_top32,catboost,9592,0.2560293664584643,8.81638023707326,6.303518975290957,0.4678563416180831,0.11466267952765852,2398,-12.954486887554761,961
drillhole,G4_solid_TP_CVOCA_top32,xgboost,9592,0.23924529545071527,8.915274902068637,6.301075313395515,0.35759356429121514,0.1095788382666456,2398,-13.332202754898944,961
spatial_block,G0_current_geology,catboost,9592,0.15972235268646828,9.369659771503631,6.868785396079471,1.7469019315078724,-0.004701657349920341,2398,-11.278455995605317,972
spatial_block,G0_current_geology,xgboost,9592,0.11943234409581482,9.591660104953359,7.0123873365352924,1.4774750290919187,-0.04173259667614282,2398,-11.257935452559359,972
spatial_block,G1_plus_CAD_solid,catboost,9592,0.16070347467906454,9.364188089451781,6.837021920081511,1.5417030863707357,0.032169885266240206,2398,-11.790739570640975,972
spatial_block,G1_plus_CAD_solid,xgboost,9592,0.1361855999800865,9.49997878821243,6.904211926694908,1.1476838797266233,0.0016773152748947862,2398,-12.096066234729909,972
spatial_block,G2_plus_TP_CVOCA_current,catboost,9592,0.16595836653007867,9.33482715467185,6.85236317363494,1.8213402502452982,-0.0023417947152106766,2398,-11.265815583378169,972
spatial_block,G2_plus_TP_CVOCA_current,xgboost,9592,0.09880603637772745,9.703346786206774,7.177690545937934,2.0888929477187372,-0.17839637576675593,2398,-9.120848731445188,972
spatial_block,G3_plus_solid_TP_CVOCA,catboost,9592,0.1709015527561063,9.307123283778084,6.82534702030405,1.778165245030201,-0.04533717053245745,2398,-11.412084511502936,972
spatial_block,G3_plus_solid_TP_CVOCA,xgboost,9592,0.0707854663329961,9.853043785740962,7.320694542662912,2.135727514890555,-0.25346135754571164,2398,-9.15576172188967,972
spatial_block,G4_solid_TP_CVOCA_top32,catboost,9592,0.17548413895133697,9.281366515749458,6.720218106351446,1.7908784449762836,-0.006510595447662748,2398,-11.499947416377633,972
spatial_block,G4_solid_TP_CVOCA_top32,xgboost,9592,0.1485376492073185,9.431812107607787,6.8516004245215605,1.2935718888297891,0.008580618918417549,2398,-11.758158200267902,972
